,EPS,DPS,NTA,Revenue,P/L,Quarter,Q Date,Financial Date,Announced,Net%,Report,ticker
0,0.13,0.0,0.08,"19,198k","1,180k",3,2019-12-31,2020-03-31,2020-02-26,153.8%,View,7219
1,0.05,0.0,0.08,"18,545k",492k,2,2019-09-30,2020-03-31,2019-11-27,132.6%,View,7219
2,-0.13,0.0,0.08,"28,165k","-1,221k",1,2019-06-30,2020-03-31,2019-08-28,24.1%,View,7219
3,-1.46,0.0,0.08,"30,775k","-10,643k",4,2019-03-31,2019-03-31,2019-05-31,736.9%,View,7219
4,-0.3,0.0,0.09,"38,595k","-2,192k",3,2018-12-31,2019-03-31,2019-02-27,96.1%,View,7219
5,-0.17,0.0,0.1,"36,649k","-1,509k",2,2018-09-30,2019-03-31,2018-11-28,16.3%,View,7219
6,-0.12,0.0,0.1,"33,561k",-984k,1,2018-06-30,2019-03-31,2018-08-30,41.2%,View,7219
7,0.26,0.0,0.1,"29,365k","1,904k",4,2018-03-31,2018-03-31,2018-05-31,111.1%,View,7219
8,-0.15,0.0,0.09,"32,386k","-1,118k",3,2017-12-31,2018-03-31,2018-02-27,63.7%,View,7219
9,-0.25,0.0,0.09,"32,881k","-1,803k",2,2017-09-30,2018-03-31,2017-11-23,1.2%,View,7219
10,-0.23,0.0,0.1,"27,579k","-1,674k",1,2017-06-30,2018-03-31,2017-08-29,53.6%,View,7219
11,-2.33,0.0,0.1,"22,800k","-16,098k",4,2017-03-31,2017-03-31,2017-05-31,610.4%,View,7219
12,-0.46,0.0,0.127,"22,153k","-3,080k",3,2016-12-31,2017-03-31,2017-02-28,11.3%,View,7219
13,-0.2,0.0,0.126,"23,397k","-1,408k",2,2016-09-30,2017-03-31,2016-11-30,2.6%,View,7219
14,-0.54,0.0,0.127,"23,137k","-3,610k",1,2016-06-30,2017-03-31,2016-08-30,9.9%,View,7219
15,-0.54,0.0,0.13,"24,899k","-2,266k",4,2016-03-31,2016-03-31,2016-05-26,400.1%,View,7219
16,-0.42,0.0,0.137,"24,237k","-2,768k",3,2015-12-31,2016-03-31,2016-02-29,715.1%,View,7219
17,-0.22,0.0,0.141,"31,646k","-1,446k",2,2015-09-30,2016-03-31,2015-11-26,805.4%,View,7219
18,-0.95,0.0,0.229,"29,499k","-4,007k",1,2015-06-30,2016-03-31,2015-08-28,687.2%,View,7219
19,0.11,0.0,0.148,"30,819k",755k,-,2015-03-31,2015-03-31,2015-05-29,0%,View,7219
20,0.07,0.0,0.151,"43,986k",464k,-,2014-12-31,2015-03-31,2015-02-26,104.9%,View,7219
21,0.07,0.0,0.152,"46,510k",205k,-,2014-09-30,2015-03-31,2014-11-20,40.8%,View,7219
22,-0.16,0.0,0.151,"42,431k",-509k,2,2014-06-30,2014-12-31,2014-08-22,223.2%,View,7219
23,-0.03,0.0,0.153,"33,584k",-93k,1,2014-03-31,2014-12-31,2014-05-29,107.9%,View,7219
24,-3.04,0.0,0.153,"47,746k","-9,415k",4,2013-12-31,2013-12-31,2014-02-21,123.1%,View,7219
25,0.11,0.0,0.183,"54,555k",346k,3,2013-09-30,2013-12-31,2013-11-21,139.5%,View,7219
26,0.14,0.0,0.182,"54,105k",413k,2,2013-06-30,2013-12-31,2013-08-23,111.9%,View,7219
27,0.39,0.0,0.178,"45,238k","1,178k",1,2013-03-31,2013-12-31,2013-05-17,283.5%,View,7219
28,-1.22,0.0,0.175,"48,785k","-3,688k",4,2012-12-31,2012-12-31,2013-02-27,467.3%,View,7219
29,-0.29,0.0,0.186,"42,769k",-876k,3,2012-09-30,2012-12-31,2012-11-22,372.9%,View,7219
30,-1.14,0.0,0.189,"39,154k","-3,463k",2,2012-06-30,2012-12-31,2012-08-30,4272.3%,View,7219
31,-0.21,0.0,0.1976,"32,113k",-642k,1,2012-03-31,2012-12-31,2012-05-30,154.8%,View,7219
32,0.2,0.0,0.1993,"31,446k",612k,4,2011-12-31,2011-12-31,2012-02-23,71.1%,View,7219
33,0.11,0.0,0.1975,"31,542k",321k,3,2011-09-30,2011-12-31,2011-11-14,147.8%,View,7219
34,0.03,0.0,0.1964,"31,935k",83k,2,2011-06-30,2011-12-31,2011-08-25,83.7%,View,7219
35,-0.08,0.0,0.1961,"26,590k",-252k,1,2011-03-31,2011-12-31,2011-05-23,194%,View,7219
36,0.7,0.0,0.1969,"33,171k","2,125k",4,2010-12-31,2010-12-31,2011-02-24,366.6%,View,7219
37,-0.22,0.0,0.1898,"28,859k",-671k,3,2010-09-30,2010-12-31,2010-11-18,76.6%,View,7219
38,0.17,0.0,0.1921,"31,951k",510k,2,2010-06-30,2010-12-31,2010-08-17,119.7%,View,7219
39,0.09,0.0,0.1904,"32,415k",268k,1,2010-03-31,2010-12-31,2010-05-26,121.6%,View,7219
40,-0.25,0.0,0.19,"35,754k",-771k,4,2009-12-31,2009-12-31,2010-02-24,88.4%,View,7219
41,-0.95,0.0,0.1902,"35,182k","-2,870k",3,2009-09-30,2009-12-31,2009-11-25,133.1%,View,7219
42,-0.86,0.0,0.2003,"29,212k","-2,590k",2,2009-06-30,2009-12-31,2009-08-26,468.9%,View,7219
43,-0.41,0.0,0.2089,"26,252k","-1,238k",1,2009-03-31,2009-12-31,2009-05-26,156.3%,View,7219
44,-2.19,0.0,0.22,"28,210k","-6,633k",4,2008-12-31,2008-12-31,2009-02-25,8.3%,View,7219
45,-0.41,0.0,0.23,"33,782k","-1,231k",3,2008-09-30,2008-12-31,2008-11-19,240.2%,View,7219
